therapeutic,search_term,score,match_reason,source,id,pmid,doi,title,abstract,journal,year,month,first_publication_date,citedByCount,pub_types,is_open_access,pubmed_url,europe_pmc_url
abciximab,abciximab,6.84,alias_in_title;alias_in_abstract;term_hits=7;recency=0.705;citedByCount=11;clinical_pubtype;clinical_hits=3,MED,30418157,30418157,10.4244/eij-d-18-00885,Intracoronary tenecteplase versus abciximab as adjunctive treatment during primary percutaneous coronary intervention in patients with anterior myocardial infarction.,"<h4>Aims</h4>We sought to compare the effects of intracoronary administration of a fibrinolytic drug (tenecteplase) to those of a glycoprotein IIb/IIIa inhibitor (abciximab) in patients with ST-elevation myocardial infarction (STEMI) undergoing primary percutaneous coronary intervention (PPCI).<h4>Methods and results</h4>In this pilot trial, 76 patients (59 male) with anterior STEMI were randomised to intracoronary infusion of reduced-dose tenecteplase or abciximab during PPCI. Angiography was repeated at 48 hours to assess corrected TIMI frame count (cTFC) and TIMI myocardial perfusion grade (TMPG). The primary endpoint was infarct size as assessed by cardiac MRI. The abciximab group showed lower cTFC (median 14.1 [IQR 9.4-17.1]) than the tenecteplase group (18.2 [10.0-28.2]) (p=0.02), and the proportion of patients with TMPG grade 2/3 was higher in the abciximab group (90.3% vs. 67.7%; p=0.03). Major cardiac and cerebrovascular event rates did not differ; however, notably, 2/38 patients in the tenecteplase group experienced subacute stent thrombosis. At four months, there were no significant differences in infarct size between the tenecteplase and abciximab groups (17.0 g [9.6-27.5] vs. 21.1 g [11.3-35.0], p=0.33).<h4>Conclusions</h4>Intracoronary administration of tenecteplase did not reduce infarct size compared to abciximab in STEMI patients undergoing PPCI. Tenecteplase exhibited poorer myocardial reperfusion and might be associated with increased subacute stent thrombosis.",,2019,3,2019-03-01,11,"Randomized Controlled Trial, Journal Article",N,https://pubmed.ncbi.nlm.nih.gov/30418157/,https://europepmc.org/article/MED/30418157
abciximab,ReoPro,6.824,alias_in_title;alias_in_abstract;term_hits=2;recency=0.287;citedByCount=74;clinical_pubtype;clinical_hits=4;preclinical_hits=1,MED,11514371,11514371,10.1161/hc3301.094533,Abciximab readministration: results of the ReoPro Readministration Registry.,"<h4>Background</h4>Platelet glycoprotein IIb/IIIa blockade with abciximab (ReoPro) improves the clinical outcomes of percutaneous coronary intervention. This registry was conducted to characterize the effects of repeated administration of abciximab during intervention.<h4>Methods and results</h4>We recruited 500 consecutive patients at 22 centers in the United States who were receiving abciximab for at least a second time during percutaneous coronary intervention. Safety was measured as the incidence of hypersensitivity reactions, major bleeding, and thrombocytopenia. Efficacy was assessed as event-free clinical success. Human antichimeric antibody (HACA) responses were also characterized. There were no cases of hypersensitivity (95% upper confidence bound, 0.3%), major bleeding, or death. Clinical success was 94.4%. Thrombocytopenia occurred in 23 patients (4.6%; 95% CI, 2.8% to 6.4%), including 12 (2.4%; 95% CI, 1.1% to 3.7%) who developed profound thrombocytopenia (<20x10(9) cells/L). In 2 patients (0.4%), profound thrombocytopenia did not develop until after hospital discharge; in 4 (0.8%), profound thrombocytopenia recurred despite platelet transfusion. Before a first readministration, a positive HACA titer was present in 22 of 454 patients (4.8%); after a first readministration, an additional 82 of 432 (19.0%) became HACA-positive. HACA did not neutralize the in vitro inhibition of platelet aggregation by abciximab or correlate with clinical events.<h4>Conclusions</h4>The results, including overall rates of thrombocytopenia, were consistent with randomized clinical trials of first abciximab treatment. However, there was a shift from mild to profound thrombocytopenia, and cases of delayed presentation and of recurrent thrombocytopenia were seen. These findings suggest that indications and guidelines for first-time use apply to retreatment, particularly the systematic monitoring for thrombocytopenia.",,2001,8,2001-08-01,74,"Clinical Trial, Research Support, Non-U.S. Gov't, Multicenter Study, Journal Article, Clinical Trial, Phase IV",N,https://pubmed.ncbi.nlm.nih.gov/11514371/,https://europepmc.org/article/MED/11514371
abciximab,ReoPro,6.777,alias_in_title;alias_in_abstract;term_hits=3;recency=0.497;citedByCount=4;clinical_pubtype;clinical_hits=3;biophysical_hits=1,MED,22613136,22613136,10.1186/1476-7120-10-21,Detection of coronary microembolization by Doppler ultrasound in patients with stable angina pectoris during percutaneous coronary interventions under an adjunctive antithrombotic therapy with abciximab: design and rationale of the High Intensity Transient Signals ReoPro (HITS-RP) study.,"<h4>Background</h4>Embolization of atherosclerotic debris from the rupture of a vulnerable atherosclerotic plaque occurs iatrogenically during percutaneous coronary interventions (PCI) and can induce myocardial necrosis. These microembolizations are detected as high intensity transient signals (HITS) using intracoronary Doppler technology.<h4>Presentation of the hypothesis</h4>In the presented study we will test if abciximab (ReoPro®) infusion reduces high intensity transient signals in patients with stable angina pectoris undergoing PCI in comparison to standard therapy alone.<h4>Testing the hypothesis</h4>The High Intensity Transient Signals ReoPro® (HITS-RP) study will enroll 60 patients. It is a prospective, single center, randomized, double-blinded, controlled trial. The study is designed to compare the efficacy of intravenous abciximab administration for reduction of microembolization during elective PCI. Patients will be randomized in a 1:1 fashion to abciximab or placebo infusion. The primary end point of the HITS-RP-Study is the number of HITS during PCI measured by intracoronary Doppler wire. Secondary endpoints are bleeding complications, elevation of cardiac biomarkers or ECG changes after percutaneous coronary interventions, changes in coronary flow velocity reserve, hs-CRP elevation, any major adverse cardio-vascular event during one month follow-up.<h4>Implications of the hypothesis</h4>The HITS-RP-Study addresses important questions regarding the efficacy of intravenous abciximab administration in reducing microembolization and periprocedural complications in stable angina pectoris patients undergoing PCI.<h4>Trial registration</h4>The trial is registered under http://www.drks-neu.uniklinik-freiburg.de/drks_web/:DRKS00000603.",,2012,5,2012-05-21,4,"Research Support, Non-U.S. Gov't, research-article, Randomized Controlled Trial, Journal Article",Y,https://pubmed.ncbi.nlm.nih.gov/22613136/,https://europepmc.org/article/MED/22613136
abciximab,ReoPro,6.695,alias_in_title;alias_in_abstract;term_hits=2;recency=0.287;citedByCount=26;clinical_pubtype;clinical_hits=3;biophysical_hits=1;preclinical_hits=1,MED,11231437,11231437,10.1067/mhj.2001.113391,Comparative 30-day economic and clinical outcomes of platelet glycoprotein IIb/IIIa inhibitor use during elective percutaneous coronary intervention: Prairie ReoPro versus Integrilin Cost Evaluation (PRICE) Trial.,"<h4>Objectives</h4>This study examined the economics, pharmacodynamics, and clinical outcomes among patients randomly assigned to receive either abciximab (ReoPro, Centocor, Inc, Malvern, Pa, and Eli Lilly & Company, Indianapolis, Ind) or eptifibatide (Integrilin, COR Therapeutics, Inc, South San Francisco, Calif, and Key Pharmaceuticals, Inc, Kenilworth, NJ) therapy during elective percutaneous coronary intervention (PCI).<h4>Background</h4>Clinical and safety outcomes after elective PCI with a high-dose eptifibatide treatment strategy have not previously been systematically evaluated. In addition, comparative economic and pharmacodynamic studies of platelet glycoprotein (GP) IIb/IIIa receptor antagonists during PCI are sparse.<h4>Methods</h4>This randomized, double-blind study assessed the 30-day economic and clinical outcomes of 320 consecutive patients undergoing elective coronary balloon angioplasty or stent implantation who were randomly assigned to receive adjunct abciximab (n = 163) or eptifibatide (n = 157) therapy. The primary study end point was total in-hospital costs based on an intention-to-treat analysis. A secondary end point included 30-day total hospital costs. A platelet aggregometry substudy was performed on 155 patients (abciximab: n = 74 and eptifibatide: n = 81) with use of the Ultegra Rapid Platelet Function Assay.<h4>Results</h4>Baseline demographic, angiographic, and procedural variables were similar between the two treatment groups. The median and interquartile ranges of total in-hospital costs were $8268 ($6505, $9958) and $7207 ($5659, $9307), respectively, between the abciximab- and eptifibatide-treated patients (P =.009). Median total costs at 30 days were $8336 ($6505, $10,126) and $7207 ($5659, $9431), respectively, between the abciximab- and eptifibatide-treated groups (P =.009). The composite secondary clinical end points (death/nonfatal myocardial infarction/urgent revascularization) occurred in 4.9% versus 5.1% of patients, respectively, by hospital discharge (P =.84) and in 5.6% versus 6.3% of patients, respectively, at 30 days (P =.95) in the abciximab and eptifibatide groups. With the eptifibatide dose used, early and more durable platelet inhibition was achieved compared with abciximab (P <.00001).<h4>Conclusion</h4>In drug dosages and patients similar to those enrolled in the current study, eptifibatide achieved durable platelet inhibition throughout drug infusion and was associated with lower in-hospital and 30-day costs compared with abciximab in patients undergoing elective PCI.",,2001,3,2001-03-01,26,"Comparative Study, Clinical Trial, Research Support, Non-U.S. Gov't, Multicenter Study, Randomized Controlled Trial, Journal Article",N,https://pubmed.ncbi.nlm.nih.gov/11231437/,https://europepmc.org/article/MED/11231437
abciximab,ReoPro,6.689,alias_in_title;alias_in_abstract;term_hits=3;recency=0.333;citedByCount=64;clinical_pubtype;clinical_hits=3,MED,15571828,15571828,10.1016/j.ehj.2004.09.018,Use of abciximab prior to primary angioplasty in STEMI results in early recanalization of the infarct-related artery and improved myocardial tissue reperfusion - results of the Austrian multi-centre randomized ReoPro-BRIDGING Study.,"<h4>Aims</h4>The aim of the ReoPro-BRIDGING Austrian multi-centre study was to investigate the effects of abciximab (ReoPro) on early reperfusion in ST-elevation myocardial infarction prior to or during primary percutaneous coronary angioplasty (pPCI).<h4>Methods and results</h4>Fifty-five patients with STEMI were randomized either to start abciximab (0.25 mg/kg bolus followed by 10 microg/min infusion) during the organization phase for pPCI (Group 1, n=28) or immediately before pPCI (Group 2, n=27). The time between first bolus of abciximab and first balloon inflation of pPCI was 83+/-18 vs 21+/-13 min in Group 1 vs 2. The pre-pPCI ST-segment resolution (55+/-21.4% vs 42.4+/-18.2%, p=0.005), TIMI flow grade 3 (29% vs 7%, p=0.042), corrected TIMI frame count (58.4+/-32.7 vs 78.9+/-28.4 frame, p=0.018) %diameter stenosis (76.3 /63.5-100/ vs 100 /73.5-100/; median /interquartile range/, p=0.023), were significantly higher in Group 1 vs Group 2. Quantitative myocardial dye intensity measurement revealed a significantly higher grade of myocardial tissue perfusion (1 /0-9.25/ vs 0 /0-3.0/ grey pixel unit, p=0.048) in Group 1 before pPCI. Rapid release of cardiac enzymes was observed in Group 1 as compared with Group 2: rate of rise of CK was 210+/-209 vs 97+/-95 U/l/h (p=0.015). QRS score indicated a smaller infarct size in Group 1 (4.8+/-3.8 vs 7.6+/-3.5, p=0.011) on day 7.<h4>Conclusion</h4>The use of abciximab in the organization phase for pPCI results in signs of early recanalization of the infarct-related artery and a subsequent improved myocardial tissue reperfusion.",,2004,12,2004-12-01,64,"Clinical Trial, Multicenter Study, Randomized Controlled Trial, Journal Article",N,https://pubmed.ncbi.nlm.nih.gov/15571828/,https://europepmc.org/article/MED/15571828
adalimumab,Humira,7.798,alias_in_title;alias_in_abstract;term_hits=2;recency=0.861;citedByCount=6;clinical_pubtype;clinical_hits=5;biophysical_hits=2;preclinical_hits=2,MED,37204631,37204631,10.1007/s40259-023-00600-x,"Assessing the Interchangeability of AVT02 and Humira<sup>®</sup> in Participants with Moderate‑to‑Severe Chronic Plaque Psoriasis: Pharmacokinetics, Efficacy, Safety, and Immunogenicity Results from a Multicenter, Double-Blind, Randomized, Parallel-Group Study.","<h4>Background</h4>The US Food and Drug Administration (FDA) interchangeability guidelines state that the primary endpoint in a switching study should assess the impact of switching between the proposed interchangeable product and the reference product on clinical pharmacokinetics (PK) and pharmacodynamics (if available), as these assessments are generally sensitive to changes in immunogenicity and/or exposure that may arise due to switching. In addition, interchangeability designation requires no clinically meaningful difference in safety and efficacy of switching between the biosimilar and reference, compared with when using the reference product alone.<h4>Objectives</h4> The aim of this study was to investigate the PK, immunogenicity, efficacy, and safety in participants undergoing repeated switches between Humira<sup>®</sup> and AVT02 as part of a global interchangeable development program.<h4>Methods</h4>This multicenter, randomized, double-blind, parallel-group study in patients with moderate-to-severe plaque psoriasis comprises three parts: lead-in period (weeks 1-12), switching module (weeks 12-28), and the optional extension phase (weeks 28-52). Following the lead-in period during which all participants received the reference product (80 mg in week 1, followed by 40 mg every other week), participants with a clinical response of ≥ 75% improvement in the Psoriasis Area and Severity Index (PASI75) were randomized 1:1 to receive AVT02 alternating with the reference product (switching arm) or reference product only (non-switching arm). At week 28, participants who were PASI50 responders could opt to take part in an open-label extension phase receiving AVT02 up to week 50, with an end of study visit at week 52. PK, safety, immunogenicity, and efficacy were evaluated at various timepoints throughout the study for both switching and non-switching arms.<h4>Results</h4>In total, 550 participants were randomized to switching (277) and non-switching arms (273). The switching versus non-switching arithmetic least square means ratio [90% confidence intervals (CIs)] was 101.7% (91.4-112.0%) for the area under the concentration-time curve over the dosing interval from weeks 26-28 (AUC<sub>tau, W26-28</sub>) and 108.1% (98.3-117.9%) for maximum concentration over the dosing interval from weeks 26-28 (C<sub>max, W26-28</sub>). The 90% CIs for the switching versus non-switching arithmetic means ratio for primary endpoints AUC<sub>tau, W26-28</sub> and C<sub>max, W26-28</sub> were within the prespecified limits of 80-125%, demonstrating comparable PK profiles between groups. In addition, the PASI, Dermatology Life Quality Index, and static Physician's Global Assessment efficacy scores were highly similar for both treatment groups. There were no clinically meaningful differences between the immunogenicity and safety assessments of repeated switching between AVT02 and the reference product, versus the reference product alone.<h4>Conclusions</h4>This study demonstrated that the risk, in terms of safety or diminished efficacy of switching between the biosimilar and the reference product, is not greater than the risk of using the reference product alone, as required by the FDA for interchangeability designation. Beyond the scope of interchangeability, a consistent long-term safety and immunogenicity profile, with no impact on the trough levels up to 52 weeks, was established.<h4>Clinical trial registration</h4>NCT04453137; date of registration: 1 July 2020.",,2023,5,2023-05-19,6,"research-article, Multicenter Study, Randomized Controlled Trial, Journal Article",Y,https://pubmed.ncbi.nlm.nih.gov/37204631/,https://europepmc.org/article/MED/37204631
adalimumab,Humira,7.724,alias_in_title;alias_in_abstract;term_hits=5;recency=0.905;citedByCount=0;clinical_pubtype;clinical_hits=7;biophysical_hits=2;preclinical_hits=1,MED,39546188,39546188,10.1007/s40261-024-01409-4,A Phase I Clinical Trial to Evaluate the Bioequivalence of an Adalimumab Biosimilar Adalimumab-WIBP and Humira<sup>®</sup>.,"<h4>Background and objectives</h4>The high costs associated with biological agents often limit accessibility for many patients, whereas biosimilars allow the wider application of biological treatment. The objectives of this phase I clinical trial were to compare the pharmacokinetics, immunogenicity, and safety profiles of the biosimilar adalimumab-WIBP and the reference product Humira<sup>®</sup> and to assess the precision of the bioequivalence evaluation.<h4>Methods</h4>In this randomized, double-blind, parallel-group bioequivalence study, 164 healthy male Chinese participants were selected and randomly divided into two groups on a 1:1 ratio. The subjects were administered a single 40 mg subcutaneous dose of either adalimumab-WIBP or Humira<sup>®</sup>. Blood samples extracted at multiple intervals after administration were analyzed to interpret pharmacokinetic parameters, and any adverse events were documented. Alongside ensuring safety measures, the subjects were monitored for immunogenicity.<h4>Results</h4>The pharmacokinetic results demonstrated similar serum concentration-time curves in both groups. There were no significant differences in safety and no differences in immunogenicity profiles between the two groups. The bioequivalence was confirmed: the 90% confidence interval for the geometric mean ratio of the main pharmacokinetic parameters was within the range of 80-125%.<h4>Conclusion</h4>The trial indicated the bioequivalence between adalimumab-WIBP and the reference product Humira<sup>®</sup> based on pharmacokinetics, immunogenicity, and safety profile. These findings reinforce the use of the adalimumab-WIBP biosimilar as a possible therapeutic alternative to Humira<sup>®</sup>.",,2024,11,2024-11-15,0,"Equivalence Trial, Clinical Trial, Phase I, Randomized Controlled Trial, Journal Article",N,https://pubmed.ncbi.nlm.nih.gov/39546188/,https://europepmc.org/article/MED/39546188
adalimumab,Humira,7.715,alias_in_title;alias_in_abstract;term_hits=6;recency=0.819;citedByCount=1;clinical_pubtype;clinical_hits=6;biophysical_hits=2;preclinical_hits=1,MED,34134579,34134579,10.1080/14712598.2021.1944097,"A randomized, double-blind, single-dose, two-way, parallel phase I clinical study comparing the pharmacokinetics and safety of adalimumab injecta and Humira® in healthy Chinese male volunteers.","<h4>Background</h4>Humira® is a fully humanized anti-tumor necrosis factor (TNF-α) monoclonal antibody that has been marketed and approved in the United States for the clinical treatment of rheumatoid arthritis (RA), ankylosing spondylitis, psoriasis and other immune-mediated diseases. This study compared the bioequivalence, immunogenicity and safety of adalimumab injecta (a biosimilar of Humira® produced by Chia Tai Tianqing Pharmaceutical Group Co., Ltd) and Humira® in healthy Chinese male subjects in a phase I clinical study.<h4>Methods</h4>Healthy Chinese male subjects (N = 164) were randomly given a subcutaneous injection of 40 mg adalimumab or Humira® at a 1:1 ratio. Plasma drug concentrations were detected by enzyme-linked immunosorbent assay (ELISA), and primary pharmacokinetic (PK) parameters were statistically analyzed. To evaluate drug immunogenicity, anti-drug antibody (ADA) and neutralizing antibody (nAb) levels were detected. To evaluate the safety of the drugs, the subjects' physical indicators, such as multiple vital signs and routine blood tests, were continuously monitored.<h4>Results</h4>The similarity ratios of adalimumab and Humira® PK parameters were all within 80%-125%, meeting the bioequivalence standards. Drug-induced ADA and nAb levels were similar, and the drug safety in subjects was also similar.<h4>Conclusions</h4>All study drugs showed similar bioequivalence, immunogenicity and safety.<h4>Clinical trial registration</h4>CTR20182070 (Chinese Clinical Trial Registry).",,2022,6,2021-06-30,1,"Research Support, Non-U.S. Gov't, Clinical Trial, Phase I, Randomized Controlled Trial, Journal Article",N,https://pubmed.ncbi.nlm.nih.gov/34134579/,https://europepmc.org/article/MED/34134579
adalimumab,adalimumab,7.62,alias_in_title;alias_in_abstract;term_hits=13;recency=1.000;citedByCount=0;clinical_pubtype;clinical_hits=5;biophysical_hits=1;preclinical_hits=1,MED,41954860,41954860,10.1007/s12325-026-03574-8,Comparative Study Assessing Multiple Switches Between Biosimilar ABP 501 (adalimumab-atto) and Adalimumab Reference Product in Patients with Plaque Psoriasis.,"<h4>Introduction</h4>ABP 501, now approved as AMJEVITA<sup>®</sup> (adalimumab-atto, USA)/AMGEVITA<sup>®</sup> (adalimumab, EU), is a biosimilar to adalimumab reference product (RP, Humira<sup>®</sup>) indicated for the treatment of various chronic inflammatory conditions. This multicenter, randomized, double-blind study aimed to investigate the impact of multiple switches between adalimumab RP and ABP 501 as compared with continued-use of adalimumab RP.<h4>Methods</h4>This study (NCT05073315) consisted of a 12-week lead-in period where adults with moderate-to-severe plaque psoriasis received adalimumab RP subcutaneously every 2 weeks (Q2W), followed by a double-blind, two-parallel arm period in which patients were randomized to either the continued-use group (adalimumab RP Q2W, weeks 12-28) or switching group (ABP 501, weeks 12 and 14; adalimumab RP, weeks 16 and 18; ABP 501 Q2W, weeks 20-28). The primary pharmacokinetic (PK) endpoints were area under the serum concentration-time curve (AUC<sub>tau</sub>) and maximum observed serum concentration (C<sub>max</sub>) between weeks 28 and 30. Secondary endpoints included additional PK assessments and measures of safety, immunogenicity, and efficacy.<h4>Results</h4>A total of 425 patients were enrolled across 85 centers. Adherence to dosing protocol and completion/discontinuation rates were similar between groups. The ratio of geometric least squares means (90% confidence interval; CI) between the continued-use group and switching group for AUC<sub>tau</sub> was 1.0516 (0.9010, 1.2273) and for C<sub>max</sub> was 1.0044 (0.8717, 1.1574); 90% CIs were contained within the prespecified similarity margin (0.8, 1.25). Secondary endpoints were comparable between groups. There were no new or concerning safety signals.<h4>Conclusion</h4>This study demonstrates PK similarity in patients with plaque psoriasis who underwent three treatment switches between adalimumab RP and ABP 501 as compared with those who received continuous treatment with adalimumab RP. Safety, immunogenicity, and efficacy profiles were comparable. Overall, results support the interchangeability designation of ABP 501 with adalimumab RP, consistent with the US Food and Drug Administration (2019) guidelines.<h4>Trial registration</h4>This study was registered as NCT05073315.",,2026,4,2026-04-09,0,"Clinical Trial, Phase III, Comparative Study, Multicenter Study, Randomized Controlled Trial, Journal Article, case-report",Y,https://pubmed.ncbi.nlm.nih.gov/41954860/,https://europepmc.org/article/MED/41954860
adalimumab,adalimumab,7.48,alias_in_title;alias_in_abstract;term_hits=7;recency=1.000;citedByCount=0;clinical_pubtype;clinical_hits=5;biophysical_hits=1,MED,41506743,41506743,10.1136/rmdopen-2025-005867,Effects of upadacitinib or adalimumab on pain in rheumatoid arthritis and psoriatic arthritis: results from randomised phase 3 studies.,"<h4>Introduction</h4>Patients with rheumatoid (RA) or psoriatic (PsA) arthritis can experience debilitating pain.<h4>Methods</h4>Post hoc analyses of phase 3, double-blind studies in patients with active disease despite treatment (SELECT-COMPARE, SELECT-PsA 1) assessed the effects of upadacitinib or adalimumab versus placebo on pain in patients with attenuation of inflammation (AoI) versus remaining inflammation at weeks 12 and 24/26 (PsA/RA). Further, a mediation analysis assessed the direct/indirect effect of treatment on pain using the Patient's Global Assessment of pain (PtGA) and 28 tender joint count (TJC28) at weeks 2/12/26 in RA, and weeks 16/24 in PsA.<h4>Results</h4>In patients with RA+AoI, PtGA scores improved more with upadacitinib (least squares mean change, -42.9) versus adalimumab (-34.7 (p<0.05)) or placebo (-33.1 (p<0.05)) at week 12 from baseline; improvements were similar across groups by week 26. For PsA+AoI, improvement was greater with upadacitinib (week 12, -2.7; week 24, -3.8) versus placebo (-1.8 (p<0.05); -2.8 (p<0.001), respectively) and similar to adalimumab (-2.8, -3.6). For RA, the direct effect on pain was nearly two times greater with upadacitinib versus placebo compared with adalimumab at weeks 12/26. For PsA, total effects on pain (TJC28 improvement) at weeks 16/24 were greater with upadacitinib (2.16 and 2.30) and adalimumab (1.35 and 1.71) versus placebo.<h4>Conclusions</h4>Upadacitinib effectively reduced pain in active RA and PsA, including in patients with AoI. The greater pain relief observed in RA with upadacitinib versus adalimumab might indicate both direct (relieving non-inflammatory pain) and indirect (suppressing inflammation) effects.",,2026,1,2026-01-08,0,"Clinical Trial, Phase III, Research Support, Non-U.S. Gov't, research-article, Randomized Controlled Trial, Journal Article",Y,https://pubmed.ncbi.nlm.nih.gov/41506743/,https://europepmc.org/article/MED/41506743
